JURISDICTION,SEX,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,,,,,,,,
,,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Admissions,Releases,Parole Violators,Population,Total Admissions,Total Releases,Difference,%,% point diff,AVG Prison Pop.,AVG Parole Violators,AVG % Violators / Pop.
,Male,4896,"6,572",621,"24,580",5996,"7,222",579,"24,958",5439,"6,856",779,"26,250",9524,"10,191",0,"25,910",6413,"8,188",402,"24,139",7208,"9,351","1,277","25,923",7470,"10,157","1,319","26,191",8025,"9,880","1,335","27,254",8395,"10,388","1,272","28,277",9115,"11,074","1,401","29,419",8263,"10,922","1,313","29,261",8009,"10,110","1,148","29,696",7870,"10,391","1,027","29,782",7795,"10,553","1,012","29,660",7494,"10,527","1,044","29,182",7145,"10,665","1,037","28,220",6551,"11,639","1,135","26,506"," 	125,608 ","164,686"," 	(39,078)",131.11%,-0.27," 	27,365 ",982,4%
,Female,603,759,49,"1,826",679,878,39,"1,783",696,818,56,"1,697",0,0,0,"2,003",958,"1,160",34,"1,748",1066,"1,308",155,"1,965",1084,"1,335",145,"2,050",1222,"1,435",101,"2,158",1232,"1,477",121,"2,231",1447,"1,570",138,"2,455",1350,"1,566",126,"2,503",1293,"1,536",94,"2,574",1331,"1,567",89,"2,649",1396,"1,628",93,"2,721",1333,"1,800",93,"2,589",1362,"1,702",99,"2,590",1187,"1,986",99,"2,377"," 	18,239 ","22,525"," 	(4,286)",123.50%,-0.17," 	2,231 ",90,4%
Alaska ,Total,1132,"2,663","1,292","4,173",1110,"2,080","1,032","4,571",1110,"2,080","1,032","4,398",1449,"2,753","1,306","4,527",0,"2,743",0,"4,554",0,"2,719",0,"4,812",0,"2,730",0,"5,069",0,"3,316",0,"5,167",0,"3,741",0,"5,014",0,"3,219",0,"5,285",0,"3,091",0,"5,391",0,"3,599",0,"5,597",0,"3,774",0,"5,633",0,"3,774",0,"5,081",0,"3,774",0,"5,794",0,"4,085",0,"5,338",1650,"2,159",154,"4,434"," 	6,451 ","52,300"," 	(45,849)",810.73%,6.55," 	4,990 ",283,6%
,Male,981,"2,339","1,156","3,889",957,"1,837",917,"4,212",957,"1,837",917,"4,049",1281,"2,483","1,180","4,135",0,"2,475",0,"4,157",0,"2,454",0,"4,347",0,"2,457",0,"4,551",0,"2,851",0,"4,603",0,"3,183",0,"4,511",0,"2,729",0,"4,696",0,"2,667",0,"4,782",0,"2,953",0,"4,932",0,"3,080",0,"4,934",0,"3,080",0,"4,450",0,"3,080",0,"5,091",0,"2,966",0,"4,761",1374,"1,826",128,"4,024"," 	5,550 ","44,297"," 	(38,747)",798.14%,6.40," 	4,478 ",253,6%
,Female,151,324,136,284,153,243,115,359,153,243,115,349,168,270,126,392,0,268,0,397,0,265,0,465,0,273,0,518,0,465,0,564,0,558,0,503,0,490,0,589,0,424,0,609,0,646,0,665,0,694,0,699,0,694,0,631,0,694,0,703,0,"1,119",0,577,276,333,26,410, 	901 ,"8,003"," 	(7,102)",888.24%,7.47, 	513 ,30,6%
Arizona ,Total,7004,"9,120","2,556","26,510",7727,"9,067","2,273","27,710",8929,"10,080","2,539","29,359",9550,"10,409","2,407","31,170",9270,"10,205","2,073","32,515",10069,"11,940","2,366","33,471",11496,"12,220","2,458","35,801",11912,"12,567","2,134","37,746",12436,"13,214","2,377","39,502",12454,"13,867","1,933","40,544",11005,"13,512","2,129","40,209",10409,"13,162","2,518","40,020",10469,"13,008","2,394","40,080",11069,"12,942","2,357","41,177",11989,"13,521","2,449","42,259",11920,"14,100","2,723","42,719",11042,"13,869","2,489","42,320"," 	178,750 ","206,803"," 	(28,053)",115.69%,-0.40," 	36,654 ","2,363",6%
,Male,6300,"8,306","2,354","24,546",6931,"8,273","2,110","25,542",7885,"9,082","2,360","26,931",8517,"9,360","2,204","28,514",8288,"9,180","1,914","29,750",8916,"10,643","2,187","30,575",10254,"10,945","2,265","32,650",10466,"11,209","1,903","34,286",10918,"11,676","2,158","35,739",11000,"12,289","1,747","36,768",9709,"11,956","1,886","36,521",9206,"11,599","2,268","36,470",9202,"11,588","2,178","36,447",9802,"11,518","2,156","37,402",10525,"11,981","2,221","38,295",10476,"12,505","2,491","38,738",9555,"12,207","2,246","38,323"," 	157,950 ","184,317"," 	(26,367)",116.69%,-0.41," 	33,382 ","2,156",6%
,Female,704,814,202,"1,964",796,794,163,"2,168",1044,998,179,"2,428",1033,"1,049",203,"2,656",982,"1,025",159,"2,765",1153,"1,297",179,"2,896",1242,"1,275",193,"3,151",1446,"1,358",231,"3,460",1518,"1,538",219,"3,763",1454,"1,578",186,"3,776",1296,"1,556",243,"3,688",1203,"1,563",250,"3,550",1267,"1,420",216,"3,633",1267,"1,424",201,"3,775",1464,"1,540",228,"3,964",1444,"1,595",232,"3,981",1487,"1,662",243,"3,997"," 	20,800 ","22,486"," 	(1,686)",108.11%,-0.33," 	3,271 ",207,6%
Arkansas ,Total,3551,"6,324","2,332","11,915",4049,"6,663","2,920","12,594",3787,"7,680","3,283","13,091",4111,"7,177","3,016","13,315",4678,"7,625","3,341","13,807",5903,"9,148","2,132","13,511",4544,"5,676","1,350","13,729",4771,"6,054","1,821","14,314",5286,"6,615","1,691","14,716",5169,"6,991","1,911","15,208",4874,"6,664","2,535","16,204",5516,"7,252","1,543","16,108",4588,"6,299","1,182","14,654",2725,"6,544","3,964","17,235",4218,"8,815","5,217","17,874",5480,"9,702","3,871","17,707",4431,"10,370","5,480","17,537"," 	77,681 ","125,599"," 	(47,918)",161.69%,0.06," 	14,913 ","2,799",19%
,Male,3146,"5,630","2,268","11,143",3605,"5,989","2,648","11,743",3389,"7,140","3,005","12,237",3644,"6,472","2,772","12,449",3883,"6,746","3,142","12,845",4905,"8,072","1,894","12,367",3857,"4,803","1,230","12,687",4167,"5,366","1,715","13,248",4645,"5,859","1,582","13,656",4516,"6,204","1,777","14,147",4281,"5,952","2,346","15,040",4911,"6,468","1,435","14,995",4043,"5,647","1,127","13,594",2196,"5,755","3,624","15,904",3543,"7,762","4,771","16,476",4634,"8,427","3,478","16,305",3657,"8,943","4,892","16,161"," 	67,022 ","111,235"," 	(44,213)",165.97%,0.08," 	13,823 ","2,571",19%
,Female,405,694,64,772,444,674,272,851,398,540,278,854,467,705,244,866,795,879,199,962,998,"1,076",238,"1,144",687,873,120,"1,042",604,688,106,"1,066",641,756,109,"1,060",653,787,134,"1,061",593,712,189,"1,164",605,784,108,"1,113",545,652,55,"1,060",529,789,340,"1,331",675,"1,053",446,"1,398",846,"1,275",393,"1,402",774,"1,427",588,"1,376"," 	10,659 ","14,364"," 	(3,705)",134.76%,-0.06," 	1,090 ",228,21%
California ,Total,40277,"130,271","89,363","163,001",37923,"130,408","88,972","159,444",38605,"120,128","85,574","161,361",43413,"119,090","81,899","164,487",46812,"118,083","76,725","166,556",48597,"121,956","80,962","170,676",48640,"130,246","89,883","175,512",46980,"136,088","92,628","174,282",46380,"137,060","94,447","173,670",44926,"132,732","84,779","171,275",41521,"121,988","77,422","165,062",36376,"109,585","60,293","149,569",26277,"47,705","8,017","134,534",31895,"36,353","6,400","135,981",33497,"38,559","5,268","136,085",30744,"41,257","4,046","129,593",31518,"34,528","4,212","130,390"," 	674,381 ","1,706,037"," 	(1,031,656)",252.98%,0.97," 	156,558 ","60,641",39%
,Male,35734,"117,436","81,321","151,840",33753,"117,736","81,541","149,523",34464,"109,214","78,548","151,374",38441,"108,765","71,765","153,831",41045,"107,112","70,622","155,368",42601,"109,940","74,190","159,009",42508,"117,216","82,329","163,535",41115,"122,480","84,699","162,654",40306,"123,704","86,462","162,050",39476,"119,795","77,660","160,286",36173,"110,530","71,984","155,104",32193,"100,110","56,509","141,382",24383,"43,489","7,720","128,436",29440,"33,996","6,122","129,684",30957,"35,922","5,068","129,703",28570,"38,322","3,904","123,808",29177,"32,199","4,055","124,487"," 	600,336 ","1,547,966"," 	(947,630)",257.85%,1.00," 	147,181 ","55,559",38%
,Female,4543,"12,835","8,042","11,161",4170,"12,672","7,431","9,921",4141,"10,914","7,026","9,987",4972,"10,325","10,134","10,656",5767,"10,971","6,103","11,188",5996,"12,016","6,772","11,667",6132,"13,030","7,554","11,977",5865,"13,608","7,929","11,628",6074,"13,356","7,985","11,620",5450,"12,937","7,119","10,989",5348,"11,458","5,438","9,958",4183,"9,475","3,784","8,187",1894,"4,216",297,"6,098",2455,"2,357",278,"6,297",2540,"2,637",200,"6,382",2174,"2,935",142,"5,785",2341,"2,329",157,"5,903"," 	74,045 ","158,071"," 	(84,026)",213.48%,0.73," 	9,377 ","5,082",54%
Colorado ,Total,4515,"6,210","2,516","16,833",4703,"7,000","2,541","17,448",5375,"6,944","2,576","18,833",5295,"7,528","2,703","19,671",5526,"8,598","3,108","20,293",6112,"9,336","3,782","21,456",6375,"10,038","4,092","22,481",6470,"11,106","4,486","22,841",6355,"11,061","4,720","23,274",5983,"11,674","5,053","22,795",5369,"11,343","5,180","22,815",5133,"10,409","4,319","21,978",5009,"11,025","4,396","20,462",5379,"10,236","4,741","20,371",5275,"9,870","4,867","20,646",5153,"9,958","4,138","20,041",5428,"8,934","3,279","19,981"," 	93,455 ","161,270"," 	(67,815)",172.56%,0.17," 	20,719 ","3,912",19%
,Male,4063,"5,559","2,257","15,500",4195,"6,242","2,296","16,073",4774,"6,220","2,331","17,267",4637,"6,703","2,418","17,935",4793,"7,621","2,765","18,393",5242,"8,139","3,332","19,336",5494,"8,754","3,602","20,179",5557,"9,609","3,938","20,506",5522,"9,553","4,168","20,980",5229,"10,136","4,475","20,694",4719,"9,864","4,606","20,763",4472,"9,173","3,783","19,957",4422,"9,653","3,919","18,739",4662,"9,072","4,206","18,556",4530,"8,649","4,294","18,738",4456,"8,681","3,641","18,199",4597,"7,777","2,901","18,078"," 	81,364 ","141,405"," 	(60,041)",173.79%,0.16," 	18,817 ","3,467",18%
,Female,452,651,259,"1,333",508,758,245,"1,375",601,724,245,"1,566",658,825,285,"1,736",733,977,343,"1,900",870,"1,197",450,"2,120",881,"1,284",490,"2,302",913,"1,497",548,"2,335",833,"1,508",552,"2,294",754,"1,538",578,"2,101",650,"1,479",574,"2,052",661,"1,236",536,"2,021",587,"1,372",477,"1,723",717,"1,164",535,"1,815",745,"1,221",573,"1,908",697,"1,277",497,"1,842",831,"1,157",378,"1,903"," 	12,091 ","19,865"," 	(7,774)",164.30%,0.24," 	1,902 ",445,23%
Connecticut ,Total,4949,"6,292","1,132","18,355",5416,"6,669","1,060","19,196",5892,"6,536","1,153","20,720",5362,"7,233","1,141","19,846",5423,"7,111","1,090","19,497",5374,"6,817","1,091","19,442",5727,"6,466","1,112","20,566",5516,"6,577","1,409","20,924",5335,"6,817","1,077","20,661",4998,"7,277","1,124","19,716",4997,"6,516","1,018","19,321",4818,"6,824",908,"18,324",4711,"6,417",800,"17,530",4597,"5,498",827,"17,563",4532,"6,128",879,"16,636",4482,"6,091",809,"15,816",4002,"5,772",635,"14,957"," 	86,131 ","111,041"," 	(24,910)",128.92%,-0.27," 	18,769 ","1,016",5%
